E1,E2,E3,E4,Salida,Aprendido
-1,-1,-1,-1,-1,-0.984401950856589
1,-1,-1,-1,1,0.98176541047814
-1,1,-1,-1,1,0.978279402045701
1,1,-1,-1,-1,-0.99513255848972
-1,-1,1,-1,1,0.977239580223399
1,-1,1,-1,-1,-0.953359233467685
-1,1,1,-1,-1,-0.981379752067635
1,1,1,-1,1,0.981721554840158
-1,-1,-1,1,1,0.976681729216269
1,-1,-1,1,-1,-0.989821028553126
-1,1,-1,1,-1,-0.948463524782526
1,1,-1,1,1,0.966096124528097
-1,-1,1,1,-1,-0.984482154426906
1,-1,1,1,1,0.98171830013781
-1,1,1,1,1,0.977839574340119
1,1,1,1,-1,-0.994803101764829
